0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5530,Auto Coats,0.80,Dindugal,Wind,30-Sep-2008
5531,M/s.Olive EcoPower (P) Ltd,0.80,Dindugal,Wind,30-Sep-2008
5532,M/s. Maple Renewable Power (P) Ltd,0.60,Dindugal,Wind,30-Sep-2008
5533,"Surendra & Co.,",1.60,Dindugal,Wind,10-Oct-2008
5534,"KARPAGAM CONSTRUCTIONS,",0.25,Tirunelveli,Wind,16-Oct-2008
5535,M/s.Olive EcoPower (P) Ltd,0.80,Dindugal,Wind,23-Oct-2008
5536,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,1-Nov-2008
5537,"JANAKI POWER (P) LTD.,",0.25,Tirunelveli,Wind,20-Nov-2008
5538,"CITRON ECO POWER (P) LTD.,",1.50,Tirunelveli,Wind,27-Nov-2008
5539,"CITRON ECO POWER (P) LTD.,",1.50,Tirunelveli,Wind,27-Nov-2008
