0,1,2,3,4,5,6,7
Site wise Wind Farm Installations in Maharashtra as on 31/03/18,,,,,,,
Name of site,District,No. ofWindTurbines,SubTotal,Wind TurbineMake,CapacityKW perTurbine,Total CapacityMW,Sub Total
Dahanu,Thane,1,,Vestas,90,0.090,
Deogad,Sindhudurga,10,Vestas,55,0.550,,
,,10,Bonus,55,0.550,,
,,8,Suzlon Energy,1250,10.000,,
Vijaydurga,Sindhudurga,6,BHEL,250,1.500,,
Sub-total (1),,35,,,,12.690,
Chalkewadi,Satara,8,,BHEL,250,2.000,
,,3,Suzlon Energy,1250,3.750,,
,,2,NEPC,225,0.450,,
,,1,REPL,320,0.320,,
,,16,Suzlon Energy,350,5.600,,
,,8,Vestas RRB,225,1.800,,
,,10,Vestas RRB,500,5.000,,
,,20,Enercon India,230,4.600,,
,,8,Enercon India,600,4.800,,
Sub-total (2),,76,,,,28.000,
Thoseghar,Satara,36,,Vestas RRB,225,8.100,
,,52,Enercon India,230,11.960,,
,,18,Enercon India,600,10.800,,
,,8,Enercon India,800,6.400,,
,,7,Suzlon Energy,2100,14.700,,
Sub-total (3),,121,,,,51.960,
Vankusavade,Satara,540,,Suzlon Energy,350,189.000,
,,7,Suzlon Energy,1000,7.000,,
,,28,NEG-Micon,750,21.000,,
,,25,Enercon India,230,5.750,,
,,21,Enercon India,600,12.600,,
,,1,IWPL/ NEG-Micon,750,0.750,,
,,4,IWPL,250,1.000,,
,,1,Vestas RRB,225,0.225,,
,,11,Vestas RRB,500,5.500,,
Sub-total (4),,638,,,,242.825,
Matrewadi,Satara,25,Enercon India,230,5.750,,
