0,1,2,3,4,5,6,7
Name of siteMatrewadi,DistrictSatara,No. ofWindTurbines,SubTotal,Wind TurbineMake,CapacityKW perTurbine,Total CapacityMW,Sub Total
,,30,,Suzlon Energy,1500,45.000,
,,2,Vestas WindTech,1650,3.300,,
,,10,Pioneer Wincon,250,2.500,,
Sub-total (5),,67,,,,56.550,
Varekarwadi,Satara,15,,Enercon India,600,9.000,
,,5,Enercon India,800,4.000,,
,,4,Vestas Wind,1650,6.600,,
Sub-total (6),,24,,,,19.600,
Ambheri,Satara,24,,Vestas RRB,600,14.400,
,,4,Elecon,600,2.400,,
,,18,Gamesa,800,14.400,,
,,71,SouthernWindfarms,225,15.975,,
,,66,Shriram-EPC,250,16.5,,
,,25,Pioneer Wincon,250,6.25,,
,,32,Kenersys,2000,64,,
Sub-total (7),,240,,,,133.925,
Sadawaghpur,Satara,78,,Suzlon Energy,1250,97.500,
,,34,Suzlon Energy,600,20.400,,
Sub-total (8),,112,,,,117.900,
Agaswadi,Satara,114,,Regen,1500,171.000,
,,26,Gamesa,850,22.100,,
Sub-total (9),,,140,,,,193.100
Chavneshwar,Satara,92,,Enercon India,800,73.600,
Sub-total (10),,92,,,,73.600,
Kas,Satara,12,,Shriram-Leitwind,1500,18.000,
,,3,Suzlon Energy,600,1.800,,
,,5,Regen,1500,7.500,,
Sub-total (11),,20,,,,27.300,
Palsi,Satara,19,,Vestas WindTech,1650,31.350,
106,GE India,1600,169.600,,,,
